ISIN,Name,Sector,Country
CA09228F1036,BlackBerry Ltd,57201020,CA
CA0977512007,Bombardier Inc,52101010,CA
CA09784Y1088,Bonavista Energy Corp (Pre-Merger),50102020,CA
CA1125851040,Brookfield Asset Management Inc,55102020,CA
CA1129001055,Brookfield Office Properties Inc (Pre-Merger 1),60101010,CA
CA1247651088,CAE Inc,63103010,CA
CA1249003098,CCL Industries Inc,51302010,CA
CA12532H1047,CGI Inc,57201010,CA
CA1254911003,CI Financial Corp,55102020,CA
CA13321L1085,Cameco Corp,50301010,CA
CA1349211054,Canadian Apartment Properties Real Estate Investme,60102030,CA
CA1360691010,Canadian Imperial Bank of Commerce,55101010,CA
CA1363751027,Canadian National Railway Co,52405030,CA
CA1363851017,Canadian Natural Resources Ltd,50102020,CA
CA13643E1051,Canadian Oil Sands Ltd,50102020,CA
CA13645T1003,Canadian Pacific Railway Ltd,52405030,CA
CA1366812024,Canadian Tire Corporation Ltd,53402010,CA
CA1367178326,Canadian Utilities Ltd,59104010,CA
CA1375131077,Canetic Resources Trust,50102020,CA
CA1375761048,Canfor Corp,51301010,CA
CA1380351009,Canopy Growth Corp,56201040,CA
CA1488871023,Catamaran Corp,56102020,US
CA15101Q1081,Celestica Inc,57101010,CA
CA15135U1093,Cenovus Energy Inc,50102010,CA
CA1520061021,Centerra Gold Inc,51201060,CA
CA19244C1095,Cognos ULC,57201020,CA
CA21037X1006,Constellation Software Inc,57201020,CA
CA22163N1069,nan,,
CA22576C1014,Crescent Point Energy Corp,50102020,CA
CA22717L1013,Cronos Group Inc,56201040,CA
CA25675T1075,Dollarama Inc,53402020,CA
CA2572871028,Dominion Diamond Corp,51201010,CA
CA2673931069,Duvernay Oil Corp,50102020,CA
CA2849025093,Eldorado Gold Corp,51201060,CA
CA2861812014,Element Fleet Management Corp,55101050,CA
CA2908761018,Emera Inc,59101010,CA
CA2918434077,Empire Company Ltd,54301020,CA
CA2925051047,nan,,
CA29250N1050,Enbridge Inc,50103030,CA
CA2927661025,Enerplus Corp,50102020,CA
CA2935701078,Ensign Energy Services Inc,50103010,CA
CA3039011026,Fairfax Financial Holdings Ltd,55301020,CA
CA3180714048,Finning International Inc,52102020,CA
CA31890B1031,First Capital Real Estate Investment Trust,60101010,CA
CA3193843016,First Calgary Petroleums Ltd,50102020,CA
CA31943B1004,nan,,
CA3359341052,First Quantum Minerals Ltd,51201050,CA
CA3454251024,Fording Canadian Coal Trust,50101010,CA
CA3495531079,Fortis Inc,59101010,CA
CA35100E1043,Four Seasons Holdings Inc,53301010,CA
CA3518581051,Franco-Nevada Corp,51201060,CA
CA37252B1022,nan,,
CA37373P1053,Gerdau Ameristeel Corp,51201020,US
CA3759161035,Gildan Activewear Inc,53202020,CA
CA3809564097,Goldcorp Inc,51201060,
CA3874371147,Granite Real Estate Investment Trust,60102020,CA
CA39138C1068,Great-West Lifeco Inc,55301030,CA
CA4039254079,H&R Real Estate Investment Trust,60102020,CA
CA41752X1015,Harvest Operations Corp,50102020,CA
CA4480551031,Husky Energy Inc,50102030,CA
CA4488112083,Hydro One Ltd,59101010,CA
